Bruce Lee,Asians
Bruised Banana,Asians
Bubb Rubb,Blacks
Bubba,Blacks
Bubba,Whites
Bubble,Greeks
Bubbles,Blacks
Buck,Native Americans
Buck/Buck Nigger,Blacks
Bucket,Whites
Buckethead,Koreans
Buckra,Whites
Buckwheat,Blacks
Buddhahead,Asians
Buddhahead,Hawaiians
Buddy Blaster,Americans
Buffalo Jockey,Native Americans
Buffalo Soldier,Blacks
Buffy,Whites
Bug-Eater,Asians
Bugre,Brazilians
Buk-Buk,Filipinos
Bukakke Warrior,Japanese
Bukkakese,Asians
Buleh,Whites
Bulgie,Bulgarians
Bumblebee,Mixed Races
Bumi,Malaysians
Bump,Australian Aboriginals
Bumper Lips,Blacks
Bun,Jews
Bun,Blacks
Bunker,Whites
Bunny,Mormons
Buppie,Blacks
Burger,Jews
Burglar,Bulgarians
Burnt Cracker,Blacks
Burnt Match,Blacks
Burnt Pizza,Italians
Burnt Rice,Asians
Burnt Toast,Blacks
Burr Head,Blacks
Burrito,Hispanics
Bush Bandit,Native American
Bush-Boogie,Blacks
Bushmen,Americans
Bushnigger,Native Americans
Buster,Bulgarians
Butter,Blacks
Butter Cookie,Danish
Butterfingers,French
Butterhead,Japanese
Buttonhead,Indians
B�d�s Ol�h,Romanians
B�g,Swedes
C-15,Blacks
Cabbage,Whites
Cabbie,Arabs
Caber Tosser,Scottish
Cabezita Negra,Hispanics
Caco,Puerto Ricans
Caffre,Blacks
Cairo Coon,Arabs
Calf,Mixed Races
California Roll,Asian/White
Calpurnia,Blacks
Calzone,Italians
Camel Cowboy,Arabs
Camel Crunch,Arabs
Camel Jockey,Arabs
Camel Lips,Blacks
Camel-Fucker,Arabs
Camel-Jacker,Arabs
Campers,Jews
Can,Hispanics
Can'ardly,Asians
Can-Kicker,Puerto Ricans
Canadian,Blacks
Canadian Goose,Jews
Canal,Panamanians
Canasian,Mixed Races
Cancer,Whites
Candy Man,Blacks
Caneater,Australians
Canigger,Blacks
Cankee/Cankie,Canadians
Canned Labor,Mexicans
Canuck,Canadians
Canucklehead,Canadians
Canyada,Canadians
Captain,Turks
Car Thief,Hispanics
Caramel,Mixed Races
Cargo,Blacks
Carl Winslow,Blacks
Carlton (Banks),Blacks
Carnie,Mexicans
Carpet Pilot,Arabs
Carpetbagger,Americans
Carrot Snapper,Mormons
Carrot Top,Irish
Casabooboo,Blacks
Cascos,Mixed Races
Cashew,Jews
Casino,Native Americans
Casper,Whites
Cast Iron,Blacks
Cat-lick,Irish
Caublasian,Mixed Races
Caucasianally- Challenged,Non-Whites
Caucazoid,Whites
Caulkie,Whites
Cave Nigger,Arabs
Caveman,Whites
CBC,Chinese
Celestial,Chinese
Center Denter,Arabs
Chack,Mixed Races
Chad,Blacks
Chain Dragger,Blacks
Chale,Chinese
Chalky,Blacks
Chalupa,Mexicans
Cham,Hispanics
Champi�on,Ecuadorians
Chang-Ke,Chinese
Chango,Blacks
Chankoro,Chinese
Chap,Asians
Chapin,Guatemalans
Chapta,Chinese
Chara,Indians
Charcoal Briquette,Blacks
Charlie,Vietnamese
Cheap Labor,Hispanics
Checker Back,Czechs
Checkpoint,Arabs
Cheddar,Hispanics
Cheech,Mexicans
Cheese Nip,Mixed Races
Cheese-Eater,Dutch
Cheesehead,Whites
Cheesehead,Dutch
Cheeser/Cheesehead,Canadians
Chefur,Balkan
Chernozhopyi,Blacks
Cherry Nigger,Native Americans
Cherry Picker,Hispanics
Cheshire Cat,Blacks
Cheskey,Czechs
Chesky,Czech
Chew,Mixed Races
Chex Mex,Mixed Races
Chex Mix,Mixed Races
Chexican,Mixed Races
Chic,Mixed Races
Chicago Navajo,Blacks
Chicken Bandit,Blacks
Chico,Hispanics
Chief,Native Americans
Chiegro,Chinese
Chigger,Chinese
Chilango,Hispanics
Chili,Hispanics
Chili Choker,Mexicans
Chili-Shitter,Hispanics
Chinaman,Asians
Chindian,Nepalese
Chinee,Chinese
Chinegro,Chileans
Ching-Chong,Asians
Chinig,Mixed Races
Chinina,Asians
Chink,Asians
Chink-a-billy,Chinese
Chinkaboo,Mixed Races
Chinkamo,Mixed Races
